日期,开盘,收盘,最高,最低,成交量,振幅,涨跌幅,涨跌额,成交额
2019-12-20,0.671,0.668,0.672,0.666,1167304.0,0.9009009009008917,,,779759.072
2019-12-23,0.669,0.658,0.671,0.656,600428.0,2.286585365853666,-1.4970059880239583,-0.010000000000000009,395081.624
2019-12-24,0.661,0.664,0.665,0.656,201611.0,1.3719512195121908,0.911854103343468,0.006000000000000005,133869.704
2019-12-25,0.664,0.662,0.664,0.659,219647.0,0.7587253414264028,-0.3012048192771122,-0.0020000000000000018,145406.314
2019-12-26,0.663,0.669,0.671,0.662,788868.0,1.3595166163141936,1.0574018126888296,0.007000000000000006,527752.692
2019-12-27,0.668,0.669,0.675,0.668,719828.0,1.0479041916167775,0.0,0.0,481564.93200000003
2019-12-30,0.669,0.681,0.681,0.666,596910.0,2.2522522522522515,1.7937219730941756,0.01200000000000001,406495.71
2019-12-31,0.681,0.686,0.687,0.676,470645.0,1.6272189349112454,0.7342143906020615,0.0050000000000000044,322862.47000000003
2020-01-02,0.689,0.699,0.703,0.689,766440.0,2.0319303338171224,1.8950437317784008,0.0129999999999999,535741.5599999999
2020-01-03,0.699,0.699,0.701,0.694,429115.0,1.008645533141217,0.0,0.0,299951.385
2020-01-06,0.696,0.696,0.705,0.691,735132.0,2.026049204052094,-0.42918454935622075,-0.0030000000000000027,511651.872
2020-01-07,0.699,0.704,0.704,0.696,539392.0,1.1494252873563315,1.1494252873563315,0.008000000000000007,379731.968
2020-01-08,0.703,0.694,0.703,0.69,355464.0,1.8840579710144967,-1.4204545454545414,-0.010000000000000009,246692.01599999997
2020-01-09,0.703,0.703,0.705,0.698,430890.0,1.002865329512903,1.2968299711815678,0.009000000000000008,302915.67
2020-01-10,0.705,0.702,0.708,0.697,343948.0,1.5781922525107683,-0.14224751066855834,-0.0010000000000000009,241451.49599999998
2020-01-13,0.702,0.708,0.708,0.697,313417.0,1.5781922525107683,0.8547008547008517,0.006000000000000005,221899.23599999998
2020-01-14,0.71,0.71,0.718,0.709,705390.0,1.2693935119887145,0.28248587570620654,0.0020000000000000018,500826.89999999997
2020-01-15,0.709,0.706,0.71,0.702,210854.0,1.139601139601143,-0.5633802816901401,-0.0040000000000000036,148862.924
2020-01-16,0.707,0.701,0.708,0.698,360035.0,1.4326647564469885,-0.7082152974504208,-0.0050000000000000044,252384.53499999997
2020-01-17,0.703,0.701,0.706,0.699,247855.0,1.0014306151645114,0.0,0.0,173746.35499999998
2020-01-20,0.706,0.702,0.706,0.696,193229.0,1.4367816091954033,0.14265335235377208,0.0010000000000000009,135646.758
2020-01-21,0.701,0.685,0.701,0.684,401397.0,2.485380116959046,-2.4216524216524093,-0.016999999999999904,274956.945
2020-01-22,0.685,0.69,0.691,0.67,290386.0,3.1343283582089487,0.7299270072992581,0.004999999999999893,200366.34
2020-01-23,0.685,0.662,0.685,0.656,546335.0,4.4207317073170715,-4.057971014492745,-0.027999999999999914,361673.77
2020-02-03,0.568,0.576,0.609,0.566,668127.0,7.597173144876335,-12.990936555891253,-0.08600000000000008,384841.15199999994
2020-02-04,0.577,0.599,0.6,0.576,390005.0,4.166666666666674,3.993055555555558,0.02300000000000002,233612.995
2020-02-05,0.602,0.608,0.62,0.597,371742.0,3.8525963149078857,1.5025041736226985,0.009000000000000008,226019.136
2020-02-06,0.609,0.62,0.622,0.602,318640.0,3.322259136212624,1.9736842105263275,0.01200000000000001,197556.8
2020-02-07,0.615,0.622,0.623,0.61,237989.0,2.1311475409836023,0.3225806451612856,0.0020000000000000018,148029.158
2020-02-10,0.619,0.637,0.637,0.614,362595.0,3.7459283387622166,2.411575562700974,0.015000000000000013,230973.015
2020-02-11,0.637,0.64,0.644,0.632,256921.0,1.8987341772152,0.47095761381474865,0.0030000000000000027,164429.44
2020-02-12,0.641,0.646,0.647,0.636,192721.0,1.7295597484276781,0.9374999999999911,0.006000000000000005,124497.766
2020-02-13,0.646,0.642,0.65,0.641,237202.0,1.4040561622464809,-0.6191950464396245,-0.0040000000000000036,152283.684
2020-02-14,0.642,0.65,0.65,0.641,218700.0,1.4040561622464809,1.2461059190031154,0.008000000000000007,142155.0
2020-02-17,0.652,0.67,0.67,0.649,315456.0,3.2357473035439233,3.076923076923088,0.020000000000000018,211355.52000000002
2020-02-18,0.671,0.67,0.674,0.662,416260.0,1.812688821752273,0.0,0.0,278894.2
2020-02-19,0.671,0.668,0.674,0.666,220033.0,1.2012012012011963,-0.29850746268657025,-0.0020000000000000018,146982.044
2020-02-20,0.668,0.676,0.681,0.665,461548.0,2.4060150375939893,1.1976047904191711,0.008000000000000007,312006.44800000003
2020-02-21,0.678,0.682,0.688,0.678,477506.0,1.4749262536873031,0.8875739644970349,0.006000000000000005,325659.092
2020-02-24,0.683,0.677,0.683,0.669,336564.0,2.0926756352765308,-0.7331378299120228,-0.0050000000000000044,227853.828
2020-02-25,0.668,0.666,0.668,0.645,396144.0,3.56589147286821,-1.6248153618906969,-0.01100000000000001,263831.90400000004
2020-02-26,0.658,0.667,0.679,0.654,363163.0,3.822629969418956,0.15015015015014122,0.0010000000000000009,242229.72100000002
2020-02-27,0.668,0.669,0.675,0.666,233150.0,1.3513513513513598,0.2998500749625155,0.0020000000000000018,155977.35
2020-02-28,0.664,0.647,0.664,0.639,436077.0,3.912363067292657,-3.288490284005985,-0.02200000000000002,282141.819
2020-03-02,0.641,0.678,0.68,0.641,334010.0,6.0842433697347875,4.791344667697062,0.031000000000000028,226458.78000000003
2020-03-03,0.688,0.678,0.694,0.672,302733.0,3.273809523809512,0.0,0.0,205252.97400000002
2020-03-04,0.677,0.69,0.69,0.671,303417.0,2.8315946348733023,1.7699115044247593,0.0119999999999999,209357.72999999998
2020-03-05,0.696,0.702,0.703,0.692,406886.0,1.5895953757225412,1.7391304347826209,0.01200000000000001,285633.972
2020-03-06,0.698,0.692,0.698,0.688,239477.0,1.4534883720930258,-1.4245014245014231,-0.010000000000000009,165718.08399999997
2020-03-09,0.678,0.662,0.678,0.66,392247.0,2.7272727272727337,-4.33526011560692,-0.029999999999999916,259667.51400000002
2020-03-10,0.659,0.678,0.678,0.65,314313.0,4.307692307692301,2.4169184290030232,0.016000000000000014,213104.214
2020-03-11,0.678,0.67,0.683,0.669,219871.0,2.0926756352765308,-1.179941002949858,-0.008000000000000007,147313.57
2020-03-12,0.666,0.653,0.666,0.647,280457.0,2.9366306027820643,-2.5373134328358193,-0.017000000000000015,183138.421
2020-03-13,0.634,0.638,0.644,0.611,367072.0,5.400981996726673,-2.297090352220521,-0.015000000000000013,234191.93600000002
2020-03-16,0.641,0.612,0.641,0.606,360617.0,5.775577557755773,-4.075235109717868,-0.026000000000000023,220697.604
2020-03-17,0.612,0.607,0.622,0.587,310149.0,5.9625212947189254,-0.8169934640522847,-0.0050000000000000044,188260.443
2020-03-18,0.609,0.594,0.619,0.593,215798.0,4.384485666104565,-2.1416803953871466,-0.013000000000000012,128184.01199999999
2020-03-19,0.593,0.585,0.599,0.568,452244.0,5.457746478873249,-1.5151515151515138,-0.009000000000000008,264562.74
2020-03-20,0.593,0.599,0.599,0.582,173857.0,2.9209621993127266,2.3931623931623847,0.014000000000000012,104140.343
2020-03-23,0.585,0.571,0.585,0.569,273813.0,2.811950790861162,-4.6744574290484175,-0.028000000000000025,156347.223
2020-03-24,0.583,0.592,0.593,0.577,158872.0,2.772963604852685,3.677758318739066,0.02100000000000002,94052.224
2020-03-25,0.6,0.611,0.612,0.6,150571.0,2.0000000000000018,3.2094594594594517,0.019000000000000017,91998.881
2020-03-26,0.609,0.602,0.609,0.6,99952.0,1.5000000000000124,-1.4729950900163713,-0.009000000000000008,60171.104
2020-03-27,0.606,0.609,0.616,0.606,148504.0,1.650165016501659,1.1627906976744207,0.007000000000000006,90438.936
2020-03-30,0.602,0.596,0.602,0.588,152081.0,2.3809523809523725,-2.1346469622331665,-0.013000000000000012,90640.276
2020-03-31,0.601,0.593,0.603,0.592,139419.0,1.858108108108114,-0.5033557046979831,-0.0030000000000000027,82675.46699999999
2020-04-01,0.592,0.586,0.6,0.586,291791.0,2.3890784982935287,-1.180438448566612,-0.007000000000000006,170989.52599999998
2020-04-02,0.586,0.599,0.6,0.583,192638.0,2.9159519725557415,2.2184300341296925,0.013000000000000012,115390.162
2020-04-03,0.601,0.597,0.601,0.593,120398.0,1.3490725126475533,-0.33388981636059967,-0.0020000000000000018,71877.606
2020-04-07,0.607,0.612,0.614,0.606,163936.0,1.320132013201314,2.5125628140703515,0.015000000000000013,100328.832
2020-04-08,0.609,0.611,0.613,0.604,101067.0,1.490066225165565,-0.16339869281045694,-0.0010000000000000009,61751.937
2020-04-09,0.612,0.615,0.617,0.612,180174.0,0.8169934640522847,0.654664484451728,0.0040000000000000036,110807.01
2020-04-10,0.615,0.607,0.618,0.603,175654.0,2.487562189054726,-1.3008130081300862,-0.008000000000000007,106621.978
2020-04-13,0.599,0.604,0.606,0.598,98175.0,1.3377926421404673,-0.49423393739703725,-0.0030000000000000027,59297.7
2020-04-14,0.605,0.616,0.616,0.605,122761.0,1.81818181818183,1.9867549668874274,0.01200000000000001,75620.776
2020-04-15,0.616,0.611,0.617,0.61,142384.0,1.1475409836065653,-0.8116883116883078,-0.0050000000000000044,86996.624
2020-04-16,0.607,0.608,0.61,0.603,132368.0,1.1608623548922115,-0.49099836333879043,-0.0030000000000000027,80479.74399999999
2020-04-17,0.61,0.61,0.615,0.609,134804.0,0.9852216748768461,0.328947368421062,0.0020000000000000018,82230.44
2020-04-20,0.613,0.616,0.616,0.608,123922.0,1.3157894736842035,0.9836065573770592,0.006000000000000005,76335.952
2020-04-21,0.614,0.611,0.614,0.604,107485.0,1.655629139072845,-0.8116883116883078,-0.0050000000000000044,65673.33499999999
2020-04-22,0.608,0.616,0.616,0.604,144723.0,1.9867549668874274,0.8183306055646433,0.0050000000000000044,89149.368
2020-04-23,0.617,0.613,0.618,0.612,105337.0,0.9803921568627416,-0.48701298701299134,-0.0030000000000000027,64571.581
2020-04-24,0.613,0.606,0.616,0.604,218877.0,1.9867549668874274,-1.1419249592169667,-0.007000000000000006,132639.462
2020-04-27,0.606,0.613,0.617,0.606,127586.0,1.8151815181518094,1.1551155115511635,0.007000000000000006,78210.218
2020-04-28,0.617,0.61,0.617,0.59,130168.0,4.5762711864406835,-0.4893964110929905,-0.0030000000000000027,79402.48
2020-04-29,0.609,0.617,0.617,0.608,108135.0,1.4802631578947345,1.1475409836065653,0.007000000000000006,66719.295
2020-04-30,0.617,0.626,0.626,0.617,240247.0,1.4586709886547755,1.4586709886547755,0.009000000000000008,150394.622
2020-05-06,0.621,0.627,0.628,0.615,148342.0,2.1138211382113914,0.15974440894568342,0.0010000000000000009,93010.434
2020-05-07,0.625,0.628,0.628,0.622,117979.0,0.9646302250803762,0.15948963317384823,0.0010000000000000009,74090.812
2020-05-08,0.628,0.635,0.637,0.628,120390.0,1.4331210191082855,1.1146496815286566,0.007000000000000006,76447.65
2020-05-11,0.635,0.637,0.64,0.633,130411.0,1.1058451816745585,0.31496062992126816,0.0020000000000000018,83071.807
2020-05-12,0.637,0.633,0.637,0.626,95915.0,1.757188498402562,-0.6279434850863463,-0.0040000000000000036,60714.195
2020-05-13,0.633,0.634,0.635,0.625,94553.0,1.6000000000000014,0.15797788309637184,0.0010000000000000009,59946.602
2020-05-14,0.635,0.626,0.635,0.625,178271.0,1.6000000000000014,-1.2618296529968487,-0.008000000000000007,111597.646
2020-05-15,0.627,0.621,0.631,0.621,119889.0,1.6103059581320522,-0.7987220447284393,-0.0050000000000000044,74451.069
2020-05-18,0.622,0.623,0.628,0.618,81092.0,1.6181229773462702,0.32206119162641045,0.0020000000000000018,50520.316
2020-05-19,0.628,0.63,0.633,0.627,114399.0,0.9569377990430672,1.1235955056179803,0.007000000000000006,72071.37
2020-05-20,0.628,0.623,0.63,0.621,121257.0,1.449275362318847,-1.1111111111111072,-0.007000000000000006,75543.111
2020-05-21,0.624,0.618,0.627,0.617,96275.0,1.620745542949753,-0.8025682182985605,-0.0050000000000000044,59497.95
2020-05-22,0.618,0.603,0.622,0.601,177556.0,3.4941763727121433,-2.4271844660194164,-0.015000000000000013,107066.268
2020-05-25,0.603,0.609,0.609,0.601,114885.0,1.331114808652245,0.995024875621886,0.006000000000000005,69964.965
2020-05-26,0.608,0.614,0.614,0.608,114563.0,0.9868421052631637,0.8210180623973828,0.0050000000000000044,70341.682
2020-05-27,0.611,0.617,0.62,0.611,145003.0,1.4729950900163713,0.48859934853420217,0.0030000000000000027,89466.851
2020-05-28,0.617,0.618,0.623,0.611,112373.0,1.9639934533551617,0.16207455429497752,0.0010000000000000009,69446.514
2020-05-29,0.617,0.616,0.618,0.613,95205.0,0.815660685154973,-0.3236245954692518,-0.0020000000000000018,58646.28
2020-06-01,0.616,0.634,0.634,0.616,170580.0,2.922077922077926,2.922077922077926,0.018000000000000016,108147.72
2020-06-02,0.632,0.635,0.636,0.629,126136.0,1.11287758346581,0.1577287066246047,0.0010000000000000009,80096.36
2020-06-03,0.635,0.635,0.642,0.635,154959.0,1.1023622047244164,0.0,0.0,98398.965
2020-06-04,0.638,0.637,0.641,0.634,163543.0,1.1041009463722329,0.31496062992126816,0.0020000000000000018,104176.891
2020-06-05,0.636,0.634,0.639,0.63,203303.0,1.4285714285714235,-0.47095761381475976,-0.0030000000000000027,128894.102
2020-06-08,0.636,0.636,0.64,0.634,186395.0,0.9463722397476282,0.3154574132492094,0.0020000000000000018,118547.22
2020-06-09,0.637,0.64,0.64,0.637,142950.0,0.47095761381474865,0.6289308176100628,0.0040000000000000036,91488.0
2020-06-10,0.64,0.639,0.64,0.635,121593.0,0.7874015748031482,-0.15625000000000222,-0.0010000000000000009,77697.927
2020-06-11,0.639,0.631,0.639,0.628,100935.0,1.7515923566878921,-1.2519561815336422,-0.008000000000000007,63689.985
2020-06-12,0.628,0.631,0.631,0.617,111602.0,2.269043760129663,0.0,0.0,70420.862
2020-06-15,0.63,0.623,0.631,0.623,86766.0,1.284109149277679,-1.267828843106178,-0.008000000000000007,54055.218
2020-06-16,0.626,0.638,0.639,0.626,132564.0,2.076677316293929,2.4077046548956593,0.015000000000000013,84575.832
2020-06-17,0.638,0.639,0.641,0.636,130810.0,0.7861635220125729,0.15673981191222097,0.0010000000000000009,83587.59
2020-06-18,0.639,0.65,0.65,0.638,180955.0,1.8808777429467183,1.7214397496087663,0.01100000000000001,117620.75
2020-06-19,0.646,0.65,0.653,0.646,102989.0,1.0835913312693402,0.0,0.0,66942.85
2020-06-22,0.65,0.647,0.653,0.645,111856.0,1.240310077519391,-0.4615384615384577,-0.0030000000000000027,72370.83200000001
2020-06-23,0.647,0.647,0.649,0.641,94920.0,1.2480499219968744,0.0,0.0,61413.240000000005
2020-06-24,0.646,0.65,0.651,0.646,92921.0,0.7739938080495445,0.46367851622874934,0.0030000000000000027,60398.65
2020-06-29,0.649,0.646,0.649,0.642,80183.0,1.0903426791277315,-0.6153846153846176,-0.0040000000000000036,51798.218
2020-06-30,0.646,0.653,0.654,0.646,112761.0,1.238390092879249,1.0835913312693402,0.007000000000000006,73632.933
2020-07-01,0.652,0.67,0.671,0.652,331094.0,2.914110429447847,2.6033690658499253,0.017000000000000015,221832.98
2020-07-02,0.67,0.695,0.695,0.669,389218.0,3.886397608370684,3.731343283582067,0.02499999999999991,270506.51
2020-07-03,0.695,0.704,0.705,0.695,323237.0,1.4388489208633004,1.2949640287769792,0.009000000000000008,227558.848
2020-07-06,0.708,0.768,0.775,0.708,506840.0,9.463276836158197,9.090909090909104,0.06400000000000006,389253.12
2020-07-07,0.796,0.754,0.796,0.75,334580.0,6.133333333333346,-1.822916666666663,-0.014000000000000012,252273.32
2020-07-08,0.754,0.769,0.773,0.747,252156.0,3.4805890227576963,1.9893899204244114,0.015000000000000013,193907.964
2020-07-09,0.769,0.783,0.783,0.761,371486.0,2.890932982917227,1.820546163849146,0.014000000000000012,290873.538
2020-07-10,0.782,0.761,0.782,0.756,167950.0,3.4391534391534417,-2.8097062579821253,-0.02200000000000002,127809.95
2020-07-13,0.761,0.792,0.793,0.76,217412.0,4.342105263157903,4.073587385019706,0.031000000000000028,172190.304
2020-07-14,0.792,0.784,0.798,0.765,213642.0,4.313725490196085,-1.0101010101010055,-0.008000000000000007,167495.328
