amp1,amp10,amp20,amp3,amp30,amp5,close,date,dev10,dev20,dev30,dev5,dev60,high,low,mom10,mom20,mom5,open,prev_close,ret,slope20,t0_net,t0_status
,,,,,,0.772,2019-12-20,,,,,,0.775,0.77,,,,0.774,,0.0,,596.07,仅买
0.0,,,,,,0.764,2019-12-23,,,,,,0.774,0.762,,,,0.772,0.772,-0.010363,,-2640.07,仅买
0.015544,,,,,,0.769,2019-12-24,,,,,,0.769,0.762,,,,0.766,0.764,0.006545,,3866.2,仅买
0.009162,,,0.008235,,,0.767,2019-12-25,,,,,,0.769,0.765,,,,0.769,0.769,-0.002601,,-49.8,仅买
0.005202,,,0.009969,,,0.773,2019-12-26,,,,,,0.774,0.767,,,,0.768,0.767,0.007823,,0.0,未触发
0.009126,,,0.00783,,0.007807,0.773,2019-12-27,,,,0.005202,,0.777,0.772,,,-0.453324,0.772,0.773,0.0,,0.0,未触发
0.006468,,,0.006932,,0.009101,0.781,2019-12-30,,,,0.00494,,0.782,0.77,,,0.001295,0.772,0.773,0.010349,,0.0,未触发
0.015524,,,0.010373,,0.009097,0.786,2019-12-31,,,,0.010872,,0.786,0.778,,,0.022251,0.782,0.781,0.006402,,3785.81,仅买
0.010243,,,0.010745,,0.009313,0.796,2020-01-02,,,,0.012887,,0.799,0.788,,,0.022107,0.788,0.786,0.012723,,0.0,未触发
0.013995,,,0.013254,,0.011071,0.796,2020-01-03,,,,0.018163,,0.797,0.792,,,0.03781,0.796,0.796,0.0,,1206.33,仅买
0.006281,0.009155,,0.010173,,0.010502,0.793,2020-01-06,0.023531,,,0.012208,,0.8,0.789,-0.437058,,0.029754,0.793,0.796,-0.003769,,1841.6,仅买
0.013819,0.010537,,0.011365,,0.011973,0.799,2020-01-07,0.016927,,,0.003289,,0.799,0.793,0.027202,,0.025873,0.796,0.793,0.007566,,3090.53,仅买
0.007566,0.009739,,0.009222,,0.010381,0.792,2020-01-08,0.020043,,,0.006297,,0.799,0.789,0.045812,,0.023047,0.799,0.799,-0.008761,,-2552.48,仅买
0.012516,0.010074,,0.0113,,0.010835,0.799,2020-01-09,0.008147,,,-0.004024,,0.8,0.795,0.029909,,0.007634,0.799,0.792,0.008838,,1827.2,仅买
0.006313,0.010185,,0.008798,,0.009299,0.798,2020-01-10,0.012931,,,0.004021,,0.803,0.794,0.041721,,0.003769,0.8,0.799,-0.001252,,575.16,仅买
0.011264,0.010399,,0.010031,,0.010296,0.803,2020-01-13,0.008467,,,0.002261,,0.803,0.794,0.032342,,0.002513,0.798,0.798,0.006266,,4335.47,仅买
0.011278,0.01088,,0.009618,,0.009787,0.804,2020-01-14,0.010953,,,0.006014,,0.81,0.803,0.03881,,0.01261,0.804,0.803,0.001245,,0.0,未触发
0.008717,0.010199,,0.01042,,0.010018,0.801,2020-01-15,0.009289,,,0.006006,,0.804,0.798,0.029449,,0.006258,0.803,0.804,-0.003731,,-49.81,仅买
0.007463,0.009921,,0.009153,,0.009007,0.797,2020-01-16,0.003634,,,0.0,,0.803,0.795,0.019084,,0.011364,0.802,0.801,-0.004994,,-1296.55,仅买
0.009988,0.009521,,0.008723,,0.009742,0.797,2020-01-17,-0.001503,,,-0.004497,,0.801,0.796,0.001256,,-0.002503,0.799,0.797,0.0,,575.86,仅买
0.006274,0.00952,0.009337,0.007908,,0.008744,0.798,2020-01-20,-0.001628,0.011421,,-0.004248,,0.801,0.793,0.001256,-0.436351,-0.001253,0.801,0.797,0.001255,,-673.98,仅买
0.010038,0.009142,0.009839,0.008766,,0.008496,0.785,2020-01-21,-0.001002,0.011022,,-0.001751,,0.797,0.784,0.006305,0.033679,-0.006227,0.797,0.798,-0.016291,,-5067.96,仅买
0.016291,0.010014,0.009876,0.010867,,0.01001,0.789,2020-01-22,-0.015551,-0.006769,,-0.013323,,0.789,0.773,-0.017522,0.027487,-0.023632,0.785,0.785,0.005096,,4408.27,仅买
0.020382,0.010801,0.010437,0.01557,,0.012594,0.767,2020-01-23,-0.010162,-0.00297,,-0.005295,,0.785,0.763,-0.003788,0.026008,-0.014981,0.785,0.789,-0.027883,,-8965.96,仅买
0.027883,0.012958,0.011571,0.021519,,0.016173,0.701,2020-02-03,-0.033883,-0.03077,,-0.025661,,0.724,0.694,-0.04005,0.0,-0.037641,0.694,0.767,-0.08605,,0.0,未触发
0.039113,0.015743,0.013071,0.029126,,0.022741,0.718,2020-02-04,-0.106095,-0.110124,,-0.08724,,0.719,0.701,-0.121554,-0.093144,-0.120452,0.701,0.701,0.024251,-0.000317,0.0,未触发
0.025678,0.017183,0.014031,0.030891,,0.025869,0.725,2020-02-05,-0.074384,-0.08535,,-0.045213,,0.735,0.717,-0.105853,-0.071151,-0.100251,0.721,0.718,0.009749,-0.005448,5497.14,双边
0.02507,0.018818,0.014509,0.029954,,0.027625,0.735,2020-02-06,-0.055744,-0.073127,,-0.02027,,0.736,0.721,-0.098259,-0.071703,-0.076433,0.726,0.725,0.013793,-0.010312,5459.53,双边
0.02069,0.020141,0.015031,0.023812,,0.027687,0.736,2020-02-07,-0.034419,-0.057269,,0.007954,,0.737,0.727,-0.082397,-0.064885,-0.068441,0.731,0.735,0.001361,-0.014785,4737.27,仅买
0.013605,0.020502,0.015011,0.019788,,0.024831,0.748,2020-02-10,-0.025295,-0.05234,,0.017981,,0.748,0.731,-0.076537,-0.075377,-0.040417,0.734,0.736,0.016304,-0.018576,5398.74,双边
0.023098,0.022185,0.015852,0.019131,0.01362,0.021628,0.75,2020-02-11,-0.002933,-0.033904,-0.035337,0.0213,,0.753,0.744,-0.061481,-0.060302,0.067047,0.748,0.748,0.002674,-0.017137,5297.14,双边
0.012032,0.022384,0.015763,0.016245,0.014021,0.018899,0.755,2020-02-12,0.006171,-0.028623,-0.031842,0.01516,,0.755,0.747,-0.06015,-0.054224,0.044568,0.751,0.75,0.006667,-0.016433,4609.87,仅买
0.010667,0.021822,0.015918,0.015266,0.013858,0.016018,0.752,2020-02-13,0.016972,-0.019353,-0.02501,0.013695,,0.758,0.751,-0.038217,-0.055069,0.041379,0.755,0.755,-0.003974,-0.015725,-49.8,仅买
0.009272,0.020711,0.015756,0.010657,0.013862,0.013735,0.758,2020-02-14,0.018005,-0.020706,-0.028173,0.005079,,0.758,0.751,-0.046895,-0.050505,0.023129,0.752,0.752,0.007979,-0.015071,0.0,未触发
0.009309,0.018853,0.015905,0.009749,0.013999,0.012875,0.773,2020-02-17,0.027379,-0.01025,-0.020039,0.007175,,0.773,0.757,-0.011734,-0.051314,0.029891,0.759,0.758,0.019789,-0.013906,0.0,未触发
0.021108,0.017053,0.016398,0.013229,0.014398,0.012477,0.773,2020-02-18,0.037584,0.010986,-0.000646,0.020327,,0.776,0.767,0.10271,-0.031328,0.033422,0.774,0.773,0.0,-0.012464,1241.94,仅买
0.011643,0.015649,0.016416,0.01402,0.014571,0.0124,0.772,2020-02-19,0.02998,0.012973,-0.000646,0.01417,,0.776,0.77,0.076602,-0.03736,0.030667,0.774,0.773,-0.001294,-0.011657,-49.8,仅买
0.007762,0.013918,0.016368,0.013504,0.014312,0.011819,0.778,2020-02-20,0.022246,0.013789,-0.001552,0.008359,,0.782,0.769,0.064828,-0.039801,0.022517,0.772,0.772,0.007772,-0.010911,5778.31,双边
0.016839,0.013533,0.016837,0.012081,0.014532,0.013332,0.782,2020-02-21,0.024358,0.023213,0.006555,0.009341,,0.787,0.779,0.058503,-0.028714,0.034574,0.779,0.778,0.005141,-0.009832,0.0,未触发
